E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
349	87.9	1651.531	13613.885	1785.034	34.051
349	88.0	1570.145	13319.216	1732.250	31.213
349	88.1	1488.922	13031.393	1681.212	28.946
349	88.2	1407.878	12750.040	1631.825	27.092
349	88.3	1327.031	12474.808	1584.004	25.545
349	88.4	1246.397	12205.375	1537.669	24.231
350	87.8	1734.872	13904.116	1835.919	37.589
350	87.9	1653.252	13602.528	1781.409	33.961
350	88.0	1571.778	13308.174	1728.739	31.139
350	88.1	1490.466	13020.647	1677.809	28.883
350	88.2	1409.335	12739.570	1628.525	27.037
350	88.3	1328.401	12464.596	1580.802	25.496
350	88.4	1247.681	12195.405	1534.561	24.188
351	87.8	1736.677	13892.464	1832.194	37.478
351	87.9	1654.968	13591.213	1777.802	33.873
351	88.0	1573.406	13297.174	1725.246	31.066
351	88.1	1492.007	13009.941	1674.423	28.821
351	88.2	1410.789	12729.139	1625.242	26.983
351	88.3	1329.768	12454.423	1577.617	25.449
351	88.4	1248.962	12185.473	1531.469	24.145
352	87.8	1738.477	13880.855	1828.487	37.369
352	87.9	1656.681	13579.939	1774.214	33.784
352	88.0	1575.031	13286.214	1721.770	30.993
352	88.1	1493.544	12999.275	1671.054	28.759
352	88.2	1412.239	12718.747	1621.975	26.929
352	88.3	1331.132	12444.288	1574.447	25.401
352	88.4	1250.240	12175.578	1528.392	24.102
353	87.7	1822.288	14177.477	1880.884	41.977
353	87.8	1740.274	13869.288	1824.798	37.260
353	87.9	1658.389	13568.707	1770.643	33.697
353	88.0	1576.651	13275.295	1718.311	30.920
353	88.1	1495.078	12988.648	1667.702	28.697
353	88.2	1413.686	12708.394	1618.724	26.875
353	88.3	1332.492	12434.190	1571.293	25.353
353	88.4	1251.515	12165.720	1525.331	24.060
354	87.7	1824.169	14165.596	1877.090	41.838
354	87.8	1742.066	13857.764	1821.128	37.152
354	87.9	1660.093	13557.517	1767.090	33.610
354	88.0	1578.268	13264.417	1714.869	30.848
354	88.1	1496.608	12978.061	1664.366	28.635
354	88.2	1415.129	12698.080	1615.490	26.822
354	88.3	1333.850	12424.131	1568.155	25.306
354	88.4	1252.787	12155.899	1522.285	24.017
355	87.7	1826.045	14153.758	1873.314	41.700
355	87.8	1743.854	13846.283	1817.476	37.044
355	87.9	1661.794	13546.368	1763.555	33.523
355	88.0	1579.882	13253.578	1711.445	30.776
355	88.1	1498.134	12967.513	1661.047	28.574
355	88.2	1416.570	12687.804	1612.272	26.769
355	88.3	1335.204	12414.109	1565.033	25.259
355	88.4	1254.056	12146.115	1519.254	23.975
356	87.7	1827.917	14141.964	1869.558	41.563
