strip	i0_corr	it_corr	lnI0It	i0_dark	it_dark	i0_raw	it_raw
377	23827372.00	22712267.00	0.04793	1778008	1777136	25605380	24489403
378	24209327.00	22900007.00	0.05560	1754709	1755299	25964036	24655306
379	24381444.00	22875921.00	0.06374	1843083	1843482	26224527	24719403
380	24722791.00	23055055.00	0.06984	1806756	1807965	26529547	24863020
381	24490662.00	22727761.00	0.07470	1928503	1929005	26419165	24656766
382	25012860.00	23109411.00	0.07915	1876320	1877330	26889180	24986741
383	24761477.00	22800929.00	0.08249	1955551	1956303	26717028	24757232
384	24780453.00	22788290.00	0.08381	1752008	1752010	26532461	24540300
385	25268537.00	23223523.00	0.08439	1496277	1498809	26764814	24722332
386	24963015.00	22942440.00	0.08441	1791237	1791191	26754252	24733631
387	25202210.00	23177320.00	0.08376	1480662	1481379	26682872	24658699
388	25151114.00	23177127.00	0.08174	1752209	1753688	26903323	24930815
389	25168488.00	23213332.00	0.08087	1441356	1441815	26609844	24655147
390	25004540.00	23117796.00	0.07845	1651593	1652753	26656133	24770549
391	25340573.00	23483447.00	0.07611	1655037	1655373	26995610	25138820
